timestamp,x_pos,y_pos,z_pos,qw,qx,qy,qz,raw_yaw_rad,corrected_yaw_rad,raw_yaw_deg,corrected_yaw_deg
2025-03-03 18:26:35,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07252,-3.07252,-176.042,-176.042
2025-03-03 18:26:35,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.06621,-3.06621,-175.681,-175.681
2025-03-03 18:26:35,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07531,-3.07531,-176.202,-176.202
2025-03-03 18:26:35,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07232,-3.07232,-176.031,-176.031
2025-03-03 18:26:35,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07256,-3.07256,-176.045,-176.045
2025-03-03 18:26:35,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07393,-3.07393,-176.123,-176.123
2025-03-03 18:26:35,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07513,-3.07513,-176.192,-176.192
2025-03-03 18:26:35,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07521,-3.07521,-176.196,-176.196
2025-03-03 18:26:35,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07596,-3.07596,-176.24,-176.24
2025-03-03 18:26:35,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07431,-3.07431,-176.145,-176.145
2025-03-03 18:26:35,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07254,-3.07254,-176.043,-176.043
2025-03-03 18:26:35,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07274,-3.07274,-176.055,-176.055
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07545,-3.07545,-176.21,-176.21
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07297,-3.07297,-176.068,-176.068
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07268,-3.07268,-176.052,-176.052
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07416,-3.07416,-176.136,-176.136
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07284,-3.07284,-176.061,-176.061
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07227,-3.07227,-176.028,-176.028
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07535,-3.07535,-176.205,-176.205
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07265,-3.07265,-176.05,-176.05
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07245,-3.07245,-176.038,-176.038
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07288,-3.07288,-176.063,-176.063
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07241,-3.07241,-176.036,-176.036
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07265,-3.07265,-176.05,-176.05
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07329,-3.07329,-176.087,-176.087
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07257,-3.07257,-176.045,-176.045
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07249,-3.07249,-176.041,-176.041
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07384,-3.07384,-176.118,-176.118
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07277,-3.07277,-176.057,-176.057
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07261,-3.07261,-176.047,-176.047
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07313,-3.07313,-176.077,-176.077
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07447,-3.07447,-176.154,-176.154
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07274,-3.07274,-176.055,-176.055
2025-03-03 18:26:36,0.0483904,8.03822,-0.0235082,-0.0340996,-0.0105332,-0.026071,0.999023,-3.07322,-3.07322,-176.083,-176.083
